Starting price: $10.00
on day 1, price is $10.03
on day 1152, price is $40.79
on day 1153, price is $40.77
on day 1154, price is $40.93
on day 1155, price is $40.88
on day 1156, price is $41.05
on day 1157, price is $41.07
on day 1158, price is $41.05
on day 1159, price is $41.17
on day 1160, price is $41.15
on day 1161, price is $41.15
on day 1162, price is $41.15
on day 1163, price is $41.12
on day 1164, price is $41.12
on day 1165, price is $41.15
on day 1166, price is $41.24
on day 1167, price is $41.31
on day 1168, price is $41.36
on day 1169, price is $41.43
on day 1170, price is $41.41
on day 1171, price is $41.37
on day 1172, price is $41.37
on day 1173, price is $41.34
on day 1174, price is $41.43
on day 1175, price is $41.42
on day 1176, price is $41.52
on day 1177, price is $41.56
on day 1178, price is $41.60
on day 1179, price is $41.77
on day 1180, price is $41.76
on day 1181, price is $41.74
on day 1182, price is $41.72
on day 1183, price is $41.68
on day 1184, price is $41.66
on day 1185, price is $41.67
on day 1186, price is $41.73
on day 1187, price is $41.75
on day 1188, price is $41.76
on day 1189, price is $41.89
on day 1190, price is $41.93
on day 1191, price is $41.88
on day 1192, price is $41.96
on day 1193, price is $41.96
on day 1194, price is $42.06
on day 1195, price is $42.10
on day 1196, price is $42.12
on day 1197, price is $42.09
on day 1198, price is $42.04
on day 1199, price is $42.00
on day 1200, price is $42.09
on day 1201, price is $42.08
on day 1202, price is $42.13
on day 1203, price is $42.13
on day 1204, price is $42.15
on day 1205, price is $42.27
on day 1206, price is $42.24
on day 1207, price is $42.22
on day 1208, price is $42.36
on day 1209, price is $42.32
on day 1210, price is $42.45
on day 1211, price is $42.41
on day 1212, price is $42.38
on day 1213, price is $42.35
on day 1214, price is $42.34
on day 1215, price is $42.30
on day 1216, price is $42.44
on day 1217, price is $42.57
on day 1218, price is $42.69
on day 1219, price is $42.65
on day 1220, price is $42.81
on day 1221, price is $42.85
on day 1222, price is $42.83
on day 1223, price is $42.94
on day 1224, price is $42.91
on day 1225, price is $43.07
on day 1226, price is $43.14
on day 1227, price is $43.10
on day 1228, price is $43.09
on day 1229, price is $43.09
on day 1230, price is $43.25
on day 1231, price is $43.24
on day 1232, price is $43.21
on day 1233, price is $43.19
on day 1234, price is $43.33
on day 1235, price is $43.32
on day 1236, price is $43.31
on day 1237, price is $43.43
on day 1238, price is $43.53
on day 1239, price is $43.67
on day 1240, price is $43.66
on day 1241, price is $43.82
on day 1242, price is $43.84
on day 1243, price is $43.82
on day 1244, price is $43.80
on day 1245, price is $43.76
on day 1246, price is $43.89
on day 1247, price is $43.88
on day 1248, price is $44.00
on day 1249, price is $44.10
on day 1250, price is $44.17
on day 1251, price is $44.14
on day 1252, price is $44.11
on day 1253, price is $44.23
on day 1254, price is $44.34
on day 1255, price is $44.39
on day 1256, price is $44.35
on day 1257, price is $44.36
on day 1258, price is $44.36
on day 1259, price is $44.44
on day 1260, price is $44.46
on day 1261, price is $44.44
on day 1262, price is $44.55
on day 1263, price is $44.54
on day 1264, price is $44.62
on day 1265, price is $44.73
on day 1266, price is $44.68
on day 1267, price is $44.65
on day 1268, price is $44.72
on day 1269, price is $44.73
on day 1270, price is $44.74
on day 1271, price is $44.70
on day 1272, price is $44.66
on day 1273, price is $44.68
on day 1274, price is $44.65
on day 1275, price is $44.60
on day 1276, price is $44.59
on day 1277, price is $44.70
on day 1278, price is $44.66
on day 1279, price is $44.65
on day 1280, price is $44.75
on day 1281, price is $44.86
on day 1282, price is $44.86
on day 1283, price is $44.82
on day 1284, price is $44.77
on day 1285, price is $44.82
on day 1286, price is $44.91
on day 1287, price is $44.97
on day 1288, price is $44.96
on day 1289, price is $44.94
on day 1290, price is $45.04
on day 1291, price is $45.04
on day 1292, price is $45.13
on day 1293, price is $45.22
on day 1294, price is $45.22
on day 1295, price is $45.21
on day 1296, price is $45.20
on day 1297, price is $45.36
on day 1298, price is $45.50
on day 1299, price is $45.47
on day 1300, price is $45.58
on day 1301, price is $45.57
on day 1302, price is $45.63
on day 1303, price is $45.60
on day 1304, price is $45.57
on day 1305, price is $45.52
on day 1306, price is $45.50
on day 1307, price is $45.56
on day 1308, price is $45.55
on day 1309, price is $45.54
on day 1310, price is $45.55
on day 1311, price is $45.64
on day 1312, price is $45.63
on day 1313, price is $45.59
on day 1314, price is $45.63
on day 1315, price is $45.66
on day 1316, price is $45.63
on day 1317, price is $45.60
on day 1318, price is $45.63
on day 1319, price is $45.59
on day 1320, price is $45.60
on day 1321, price is $45.58
on day 1322, price is $45.53
on day 1323, price is $45.50
on day 1324, price is $45.46
on day 1325, price is $45.54
on day 1326, price is $45.68
on day 1327, price is $45.79
on day 1328, price is $45.77
on day 1329, price is $45.79
on day 1330, price is $45.74
on day 1331, price is $45.81
on day 1332, price is $45.90
on day 1333, price is $45.87
on day 1334, price is $45.82
on day 1335, price is $45.97
on day 1336, price is $46.03
on day 1337, price is $46.00
on day 1338, price is $45.99
on day 1339, price is $46.16
on day 1340, price is $46.22
on day 1341, price is $46.39
on day 1342, price is $46.37
on day 1343, price is $46.49
on day 1344, price is $46.47
on day 1345, price is $46.61
on day 1346, price is $46.62
on day 1347, price is $46.57
on day 1348, price is $46.74
on day 1349, price is $46.89
on day 1350, price is $47.05
on day 1351, price is $47.15
on day 1352, price is $47.23
on day 1353, price is $47.19
on day 1354, price is $47.20
on day 1355, price is $47.35
on day 1356, price is $47.51
on day 1357, price is $47.68
on day 1358, price is $47.84
on day 1359, price is $47.99
on day 1360, price is $48.16
on day 1361, price is $48.15
on day 1362, price is $48.17
on day 1363, price is $48.33
on day 1364, price is $48.36
on day 1365, price is $48.33
on day 1366, price is $48.39
on day 1367, price is $48.52
on day 1368, price is $48.51
on day 1369, price is $48.57
on day 1370, price is $48.55
on day 1371, price is $48.61
on day 1372, price is $48.70
on day 1373, price is $48.68
on day 1374, price is $48.64
on day 1375, price is $48.61
on day 1376, price is $48.68
on day 1377, price is $48.65
on day 1378, price is $48.80
on day 1379, price is $48.77
on day 1380, price is $48.91
on day 1381, price is $48.87
on day 1382, price is $48.84
on day 1383, price is $48.86
on day 1384, price is $48.91
on day 1385, price is $48.87
on day 1386, price is $48.86
on day 1387, price is $48.87
on day 1388, price is $48.96
on day 1389, price is $49.05
on day 1390, price is $49.19
on day 1391, price is $49.16
on day 1392, price is $49.14
on day 1393, price is $49.11
on day 1394, price is $49.16
on day 1395, price is $49.14
on day 1396, price is $49.17
on day 1397, price is $49.27
on day 1398, price is $49.42
on day 1399, price is $49.42
on day 1400, price is $49.42
on day 1401, price is $49.38
on day 1402, price is $49.34
on day 1403, price is $49.51
on day 1404, price is $49.48
on day 1405, price is $49.57
on day 1406, price is $49.55
on day 1407, price is $49.55
on day 1408, price is $49.54
on day 1409, price is $49.50
on day 1410, price is $49.45
on day 1411, price is $49.52
on day 1412, price is $49.52
on day 1413, price is $49.61
on day 1414, price is $49.79
on day 1415, price is $49.89
on day 1416, price is $49.96
on day 1417, price is $49.91
on day 1418, price is $49.89
on day 1419, price is $49.86
on day 1420, price is $49.95
on day 1421, price is $49.92
on day 1422, price is $49.87
on day 1423, price is $49.86
on day 1424, price is $49.83
on day 1425, price is $49.79
on day 1426, price is $49.88
on day 1427, price is $49.87
on day 1428, price is $49.85
on day 1429, price is $49.85
on day 1430, price is $50.02
on day 1431, price is $49.98
on day 1432, price is $49.95
on day 1433, price is $50.06
on day 1434, price is $50.18
on day 1435, price is $50.19
on day 1436, price is $50.26
on day 1437, price is $50.28
on day 1438, price is $50.44
on day 1439, price is $50.39
on day 1440, price is $50.48
on day 1441, price is $50.54
on day 1442, price is $50.58
on day 1443, price is $50.53
on day 1444, price is $50.67
on day 1445, price is $50.65
on day 1446, price is $50.65
on day 1447, price is $50.61
on day 1448, price is $50.57
on day 1449, price is $50.73
on day 1450, price is $50.82
on day 1451, price is $50.80
on day 1452, price is $50.86
on day 1453, price is $50.82
on day 1454, price is $50.98
on day 1455, price is $51.09
on day 1456, price is $51.07
on day 1457, price is $51.05
on day 1458, price is $51.19
on day 1459, price is $51.15
on day 1460, price is $51.14
on day 1461, price is $51.19
on day 1462, price is $51.17
on day 1463, price is $51.14
on day 1464, price is $51.09
on day 1465, price is $51.07
on day 1466, price is $51.13
on day 1467, price is $51.24
on day 1468, price is $51.21
on day 1469, price is $51.29
on day 1470, price is $51.25
on day 1471, price is $51.29
on day 1472, price is $51.32
on day 1473, price is $51.32
on day 1474, price is $51.31
on day 1475, price is $51.44
on day 1476, price is $51.52
on day 1477, price is $51.51
on day 1478, price is $51.47
on day 1479, price is $51.44
on day 1480, price is $51.43
on day 1481, price is $51.43
on day 1482, price is $51.42
on day 1483, price is $51.38
on day 1484, price is $51.44
on day 1485, price is $51.42
on day 1486, price is $51.39
on day 1487, price is $51.50
on day 1488, price is $51.66
on day 1489, price is $51.64
on day 1490, price is $51.60
on day 1491, price is $51.68
on day 1492, price is $51.63
on day 1493, price is $51.81
on day 1494, price is $51.84
on day 1495, price is $51.93
on day 1496, price is $51.96
on day 1497, price is $52.04
on day 1498, price is $52.21
on day 1499, price is $52.20
on day 1500, price is $52.28
on day 1501, price is $52.35
on day 1502, price is $52.32
on day 1503, price is $52.29
on day 1504, price is $52.25
on day 1505, price is $52.22
on day 1506, price is $52.35
on day 1507, price is $52.45
on day 1508, price is $52.44
on day 1509, price is $52.43
on day 1510, price is $52.55
on day 1511, price is $52.52
on day 1512, price is $52.49
on day 1513, price is $52.48
on day 1514, price is $52.61
on day 1515, price is $52.59
on day 1516, price is $52.58
on day 1517, price is $52.56
on day 1518, price is $52.54
on day 1519, price is $52.51
on day 1520, price is $52.56
on day 1521, price is $52.56
on day 1522, price is $52.74
on day 1523, price is $52.89
on day 1524, price is $53.01
on day 1525, price is $53.07
on day 1526, price is $53.06
on day 1527, price is $53.03
on day 1528, price is $53.21
on day 1529, price is $53.29
on day 1530, price is $53.27
on day 1531, price is $53.27
on day 1532, price is $53.29
on day 1533, price is $53.24
on day 1534, price is $53.20
on day 1535, price is $53.28
on day 1536, price is $53.45
on day 1537, price is $53.48
on day 1538, price is $53.59
on day 1539, price is $53.57
on day 1540, price is $53.54
on day 1541, price is $53.51
on day 1542, price is $53.49
on day 1543, price is $53.63
on day 1544, price is $53.60
on day 1545, price is $53.67
on day 1546, price is $53.64
on day 1547, price is $53.63
on day 1548, price is $53.68
on day 1549, price is $53.82
on day 1550, price is $53.89
on day 1551, price is $53.85
on day 1552, price is $53.99
on day 1553, price is $54.15
on day 1554, price is $54.10
on day 1555, price is $54.21
on day 1556, price is $54.19
on day 1557, price is $54.34
on day 1558, price is $54.33
on day 1559, price is $54.30
on day 1560, price is $54.31
on day 1561, price is $54.42
on day 1562, price is $54.50
on day 1563, price is $54.48
on day 1564, price is $54.43
on day 1565, price is $54.41
on day 1566, price is $54.56
on day 1567, price is $54.73
on day 1568, price is $54.71
on day 1569, price is $54.69
on day 1570, price is $54.72
on day 1571, price is $54.69
on day 1572, price is $54.67
on day 1573, price is $54.65
on day 1574, price is $54.77
on day 1575, price is $54.90
on day 1576, price is $55.00
on day 1577, price is $54.98
on day 1578, price is $55.15
on day 1579, price is $55.14
on day 1580, price is $55.24
on day 1581, price is $55.40
on day 1582, price is $55.38
on day 1583, price is $55.40
on day 1584, price is $55.46
on day 1585, price is $55.42
on day 1586, price is $55.51
on day 1587, price is $55.66
on day 1588, price is $55.78
on day 1589, price is $55.88
on day 1590, price is $55.95
on day 1591, price is $55.95
on day 1592, price is $55.91
on day 1593, price is $56.07
on day 1594, price is $56.24
on day 1595, price is $56.22
on day 1596, price is $56.20
on day 1597, price is $56.19
on day 1598, price is $56.16
on day 1599, price is $56.11
on day 1600, price is $56.09
on day 1601, price is $56.05
on day 1602, price is $56.02
on day 1603, price is $56.04
on day 1604, price is $56.02
on day 1605, price is $56.12
on day 1606, price is $56.26
on day 1607, price is $56.24
on day 1608, price is $56.28
on day 1609, price is $56.27
on day 1610, price is $56.29
on day 1611, price is $56.40
on day 1612, price is $56.36
on day 1613, price is $56.44
on day 1614, price is $56.47
on day 1615, price is $56.50
on day 1616, price is $56.56
on day 1617, price is $56.54
on day 1618, price is $56.50
on day 1619, price is $56.59
on day 1620, price is $56.56
on day 1621, price is $56.51
on day 1622, price is $56.47
on day 1623, price is $56.52
on day 1624, price is $56.68
on day 1625, price is $56.80
on day 1626, price is $56.78
on day 1627, price is $56.89
on day 1628, price is $56.95
on day 1629, price is $56.93
on day 1630, price is $56.97
on day 1631, price is $56.97
on day 1632, price is $57.03
on day 1633, price is $57.09
on day 1634, price is $57.07
on day 1635, price is $57.14
on day 1636, price is $57.11
on day 1637, price is $57.18
on day 1638, price is $57.15
on day 1639, price is $57.12
on day 1640, price is $57.14
on day 1641, price is $57.10
on day 1642, price is $57.07
on day 1643, price is $57.20
on day 1644, price is $57.28
on day 1645, price is $57.31
on day 1646, price is $57.30
on day 1647, price is $57.29
on day 1648, price is $57.40
on day 1649, price is $57.50
on day 1650, price is $57.67
on day 1651, price is $57.70
on day 1652, price is $57.77
on day 1653, price is $57.82
on day 1654, price is $57.80
on day 1655, price is $57.79
on day 1656, price is $57.82
on day 1657, price is $57.86
on day 1658, price is $57.83
on day 1659, price is $57.93
on day 1660, price is $57.93
on day 1661, price is $58.05
on day 1662, price is $58.14
on day 1663, price is $58.13
on day 1664, price is $58.11
on day 1665, price is $58.27
on day 1666, price is $58.30
on day 1667, price is $58.29
on day 1668, price is $58.26
on day 1669, price is $58.24
on day 1670, price is $58.20
on day 1671, price is $58.15
on day 1672, price is $58.13
on day 1673, price is $58.26
on day 1674, price is $58.25
on day 1675, price is $58.25
on day 1676, price is $58.26
on day 1677, price is $58.26
on day 1678, price is $58.32
on day 1679, price is $58.31
on day 1680, price is $58.31
on day 1681, price is $58.40
on day 1682, price is $58.35
on day 1683, price is $58.52
on day 1684, price is $58.48
on day 1685, price is $58.52
on day 1686, price is $58.66
on day 1687, price is $58.70
on day 1688, price is $58.67
on day 1689, price is $58.65
on day 1690, price is $58.66
on day 1691, price is $58.73
on day 1692, price is $58.72
on day 1693, price is $58.74
on day 1694, price is $58.73
on day 1695, price is $58.75
on day 1696, price is $58.73
on day 1697, price is $58.87
on day 1698, price is $59.05
on day 1699, price is $59.03
on day 1700, price is $59.18
on day 1701, price is $59.27
on day 1702, price is $59.27
on day 1703, price is $59.36
on day 1704, price is $59.44
on day 1705, price is $59.43
on day 1706, price is $59.38
on day 1707, price is $59.49
on day 1708, price is $59.49
on day 1709, price is $59.52
on day 1710, price is $59.55
on day 1711, price is $59.61
on day 1712, price is $59.61
on day 1713, price is $59.59
on day 1714, price is $59.58
on day 1715, price is $59.53
on day 1716, price is $59.57
on day 1717, price is $59.63
on day 1718, price is $59.66
on day 1719, price is $59.72
on day 1720, price is $59.69
on day 1721, price is $59.82
on day 1722, price is $59.82
on day 1723, price is $59.89
on day 1724, price is $59.98
on day 1725, price is $59.93
on day 1726, price is $59.95
on day 1727, price is $59.93
on day 1728, price is $59.91
on day 1729, price is $59.87
on day 1730, price is $59.86
on day 1731, price is $59.86
on day 1732, price is $59.94
on day 1733, price is $59.92
on day 1734, price is $59.92
on day 1735, price is $59.95
on day 1736, price is $59.97
on day 1737, price is $59.97
on day 1738, price is $60.03
on day 1739, price is $59.99
on day 1740, price is $60.02
on day 1741, price is $60.02
on day 1742, price is $60.06
on day 1743, price is $60.01
on day 1744, price is $59.97
on day 1745, price is $60.03
on day 1746, price is $60.19
on day 1747, price is $60.35
on day 1748, price is $60.41
on day 1749, price is $60.39
on day 1750, price is $60.34
on day 1751, price is $60.50
on day 1752, price is $60.58
on day 1753, price is $60.58
on day 1754, price is $60.72
on day 1755, price is $60.71
on day 1756, price is $60.66
on day 1757, price is $60.63
on day 1758, price is $60.59
on day 1759, price is $60.55
on day 1760, price is $60.53
on day 1761, price is $60.50
on day 1762, price is $60.51
on day 1763, price is $60.47
on day 1764, price is $60.42
on day 1765, price is $60.38
on day 1766, price is $60.35
on day 1767, price is $60.33
on day 1768, price is $60.47
on day 1769, price is $60.60
on day 1770, price is $60.56
on day 1771, price is $60.54
on day 1772, price is $60.58
on day 1773, price is $60.65
on day 1774, price is $60.63
on day 1775, price is $60.60
on day 1776, price is $60.57
on day 1777, price is $60.55
on day 1778, price is $60.54
on day 1779, price is $60.62
on day 1780, price is $60.67
on day 1781, price is $60.76
on day 1782, price is $60.74
on day 1783, price is $60.85
on day 1784, price is $61.02
on day 1785, price is $61.18
on day 1786, price is $61.14
on day 1787, price is $61.11
on day 1788, price is $61.07
on day 1789, price is $61.06
on day 1790, price is $61.05
on day 1791, price is $61.02
on day 1792, price is $61.03
on day 1793, price is $61.02
on day 1794, price is $61.01
on day 1795, price is $61.01
on day 1796, price is $61.16
on day 1797, price is $61.12
on day 1798, price is $61.10
on day 1799, price is $61.05
on day 1800, price is $61.01
on day 1801, price is $61.12
on day 1802, price is $61.07
on day 1803, price is $61.24
on day 1804, price is $61.23
on day 1805, price is $61.31
on day 1806, price is $61.27
on day 1807, price is $61.31
on day 1808, price is $61.28
on day 1809, price is $61.34
on day 1810, price is $61.31
on day 1811, price is $61.37
on day 1812, price is $61.33
on day 1813, price is $61.30
on day 1814, price is $61.30
on day 1815, price is $61.29
on day 1816, price is $61.25
on day 1817, price is $61.32
on day 1818, price is $61.44
on day 1819, price is $61.41
on day 1820, price is $61.55
on day 1821, price is $61.53
on day 1822, price is $61.68
on day 1823, price is $61.66
on day 1824, price is $61.66
on day 1825, price is $61.67
on day 1826, price is $61.75
on day 1827, price is $61.74
on day 1828, price is $61.70
on day 1829, price is $61.83
on day 1830, price is $61.81
on day 1831, price is $61.80
on day 1832, price is $61.76
on day 1833, price is $61.76
on day 1834, price is $61.82
on day 1835, price is $61.98
on day 1836, price is $62.05
on day 1837, price is $62.01
on day 1838, price is $62.16
on day 1839, price is $62.16
on day 1840, price is $62.11
on day 1841, price is $62.07
on day 1842, price is $62.03
on day 1843, price is $62.15
on day 1844, price is $62.13
on day 1845, price is $62.10
on day 1846, price is $62.08
on day 1847, price is $62.04
on day 1848, price is $62.06
on day 1849, price is $62.01
on day 1850, price is $61.99
on day 1851, price is $62.01
on day 1852, price is $61.96
on day 1853, price is $61.92
on day 1854, price is $62.05
on day 1855, price is $62.04
on day 1856, price is $62.15
on day 1857, price is $62.13
on day 1858, price is $62.12
on day 1859, price is $62.21
on day 1860, price is $62.26
on day 1861, price is $62.42
on day 1862, price is $62.41
on day 1863, price is $62.55
on day 1864, price is $62.53
on day 1865, price is $62.60
on day 1866, price is $62.71
on day 1867, price is $62.67
on day 1868, price is $62.64
on day 1869, price is $62.80
on day 1870, price is $62.78
on day 1871, price is $62.74
on day 1872, price is $62.83
on day 1873, price is $62.81
on day 1874, price is $62.94
on day 1875, price is $62.93
on day 1876, price is $63.03
on day 1877, price is $62.98
on day 1878, price is $62.94
on day 1879, price is $62.92
on day 1880, price is $62.94
on day 1881, price is $62.91
on day 1882, price is $62.88
on day 1883, price is $62.85
on day 1884, price is $62.97
on day 1885, price is $62.92
on day 1886, price is $63.08
on day 1887, price is $63.23
on day 1888, price is $63.26
on day 1889, price is $63.36
on day 1890, price is $63.32
on day 1891, price is $63.43
on day 1892, price is $63.42
on day 1893, price is $63.43
on day 1894, price is $63.60
on day 1895, price is $63.56
on day 1896, price is $63.54
on day 1897, price is $63.52
on day 1898, price is $63.48
on day 1899, price is $63.63
on day 1900, price is $63.80
on day 1901, price is $63.78
on day 1902, price is $63.73
on day 1903, price is $63.77
on day 1904, price is $63.85
on day 1905, price is $63.85
on day 1906, price is $63.84
on day 1907, price is $64.00
on day 1908, price is $63.96
on day 1909, price is $64.13
on day 1910, price is $64.11
on day 1911, price is $64.08
on day 1912, price is $64.05
on day 1913, price is $64.06
on day 1914, price is $64.02
on day 1915, price is $64.11
on day 1916, price is $64.16
on day 1917, price is $64.12
on day 1918, price is $64.22
on day 1919, price is $64.33
on day 1920, price is $64.37
on day 1921, price is $64.41
on day 1922, price is $64.39
on day 1923, price is $64.38
on day 1924, price is $64.38
on day 1925, price is $64.54
on day 1926, price is $64.70
on day 1927, price is $64.79
on day 1928, price is $64.94
on day 1929, price is $64.90
on day 1930, price is $64.91
on day 1931, price is $65.04
on day 1932, price is $65.01
on day 1933, price is $65.02
on day 1934, price is $65.00
on day 1935, price is $65.11
on day 1936, price is $65.20
on day 1937, price is $65.18
on day 1938, price is $65.14
on day 1939, price is $65.24
on day 1940, price is $65.21
on day 1941, price is $65.33
on day 1942, price is $65.35
on day 1943, price is $65.33
on day 1944, price is $65.29
on day 1945, price is $65.34
on day 1946, price is $65.30
on day 1947, price is $65.35
on day 1948, price is $65.40
on day 1949, price is $65.48
on day 1950, price is $65.50
on day 1951, price is $65.49
on day 1952, price is $65.47
on day 1953, price is $65.45
on day 1954, price is $65.42
on day 1955, price is $65.46
on day 1956, price is $65.45
on day 1957, price is $65.59
on day 1958, price is $65.55
on day 1959, price is $65.59
on day 1960, price is $65.55
on day 1961, price is $65.54
on day 1962, price is $65.49
on day 1963, price is $65.62
on day 1964, price is $65.57
on day 1965, price is $65.54
on day 1966, price is $65.53
on day 1967, price is $65.50
on day 1968, price is $65.46
on day 1969, price is $65.43
on day 1970, price is $65.46
on day 1971, price is $65.41
on day 1972, price is $65.38
on day 1973, price is $65.45
on day 1974, price is $65.42
on day 1975, price is $65.40
on day 1976, price is $65.38
on day 1977, price is $65.47
on day 1978, price is $65.44
on day 1979, price is $65.39
on day 1980, price is $65.37
on day 1981, price is $65.46
on day 1982, price is $65.46
on day 1983, price is $65.60
on day 1984, price is $65.58
on day 1985, price is $65.54
on day 1986, price is $65.61
on day 1987, price is $65.59
on day 1988, price is $65.57
on day 1989, price is $65.72
on day 1990, price is $65.70
on day 1991, price is $65.66
on day 1992, price is $65.63
on day 1993, price is $65.64
on day 1994, price is $65.71
on day 1995, price is $65.70
on day 1996, price is $65.73
on day 1997, price is $65.80
on day 1998, price is $65.78
on day 1999, price is $65.78
on day 2000, price is $65.77
on day 2001, price is $65.88
on day 2002, price is $65.88
on day 2003, price is $65.89
on day 2004, price is $65.85
on day 2005, price is $65.80
on day 2006, price is $65.93
on day 2007, price is $65.92
on day 2008, price is $65.89
on day 2009, price is $65.91
on day 2010, price is $65.88
on day 2011, price is $65.95
on day 2012, price is $65.97
on day 2013, price is $66.12
on day 2014, price is $66.19
on day 2015, price is $66.28
on day 2016, price is $66.40
on day 2017, price is $66.36
on day 2018, price is $66.42
on day 2019, price is $66.58
on day 2020, price is $66.60
on day 2021, price is $66.63
on day 2022, price is $66.77
on day 2023, price is $66.77
on day 2024, price is $66.77
on day 2025, price is $66.75
on day 2026, price is $66.70
on day 2027, price is $66.84
on day 2028, price is $66.96
on day 2029, price is $66.98
on day 2030, price is $66.94
on day 2031, price is $67.03
on day 2032, price is $67.06
on day 2033, price is $67.14
on day 2034, price is $67.30
on day 2035, price is $67.34
on day 2036, price is $67.31
on day 2037, price is $67.33
on day 2038, price is $67.29
on day 2039, price is $67.29
on day 2040, price is $67.44
on day 2041, price is $67.44
on day 2042, price is $67.41
on day 2043, price is $67.36
on day 2044, price is $67.40
on day 2045, price is $67.37
on day 2046, price is $67.36
on day 2047, price is $67.47
on day 2048, price is $67.44
on day 2049, price is $67.43
on day 2050, price is $67.49
on day 2051, price is $67.65
on day 2052, price is $67.64
on day 2053, price is $67.78
on day 2054, price is $67.73
on day 2055, price is $67.78
on day 2056, price is $67.82
on day 2057, price is $67.78
on day 2058, price is $67.74
on day 2059, price is $67.73
on day 2060, price is $67.71
on day 2061, price is $67.88
on day 2062, price is $67.85
on day 2063, price is $67.98
on day 2064, price is $68.00
on day 2065, price is $68.16
on day 2066, price is $68.31
on day 2067, price is $68.27
on day 2068, price is $68.26
on day 2069, price is $68.23
on day 2070, price is $68.20
on day 2071, price is $68.19
on day 2072, price is $68.18
on day 2073, price is $68.20
on day 2074, price is $68.16
on day 2075, price is $68.12
on day 2076, price is $68.15
on day 2077, price is $68.11
on day 2078, price is $68.06
on day 2079, price is $68.03
on day 2080, price is $68.02
on day 2081, price is $68.00
on day 2082, price is $67.98
on day 2083, price is $67.94
on day 2084, price is $68.03
on day 2085, price is $67.99
on day 2086, price is $67.97
on day 2087, price is $68.13
on day 2088, price is $68.10
on day 2089, price is $68.09
on day 2090, price is $68.09
on day 2091, price is $68.06
on day 2092, price is $68.04
on day 2093, price is $68.05
on day 2094, price is $68.17
on day 2095, price is $68.18
on day 2096, price is $68.13
on day 2097, price is $68.13
on day 2098, price is $68.08
on day 2099, price is $68.08
on day 2100, price is $68.04
on day 2101, price is $68.08
on day 2102, price is $68.17
on day 2103, price is $68.22
on day 2104, price is $68.34
on day 2105, price is $68.29
on day 2106, price is $68.27
on day 2107, price is $68.22
on day 2108, price is $68.22
on day 2109, price is $68.30
on day 2110, price is $68.32
on day 2111, price is $68.40
on day 2112, price is $68.58
on day 2113, price is $68.62
on day 2114, price is $68.74
on day 2115, price is $68.91
on day 2116, price is $68.97
on day 2117, price is $69.05
on day 2118, price is $69.22
on day 2119, price is $69.20
on day 2120, price is $69.31
on day 2121, price is $69.28
on day 2122, price is $69.27
on day 2123, price is $69.22
on day 2124, price is $69.19
on day 2125, price is $69.29
on day 2126, price is $69.36
on day 2127, price is $69.33
on day 2128, price is $69.40
on day 2129, price is $69.56
on day 2130, price is $69.60
on day 2131, price is $69.72
on day 2132, price is $69.71
on day 2133, price is $69.76
on day 2134, price is $69.73
on day 2135, price is $69.81
on day 2136, price is $69.77
on day 2137, price is $69.81
on day 2138, price is $69.80
on day 2139, price is $69.84
on day 2140, price is $69.83
on day 2141, price is $69.88
on day 2142, price is $69.93
on day 2143, price is $69.90
on day 2144, price is $69.90
on day 2145, price is $69.98
on day 2146, price is $69.94
on day 2147, price is $70.11
on day 2148, price is $70.14
on day 2149, price is $70.09
on day 2150, price is $70.21
on day 2151, price is $70.18
on day 2152, price is $70.13
on day 2153, price is $70.12
on day 2154, price is $70.22
on day 2155, price is $70.28
on day 2156, price is $70.26
on day 2157, price is $70.26
on day 2158, price is $70.43
on day 2159, price is $70.43
on day 2160, price is $70.60
on day 2161, price is $70.57
on day 2162, price is $70.56
on day 2163, price is $70.56
on day 2164, price is $70.52
on day 2165, price is $70.67
on day 2166, price is $70.66
on day 2167, price is $70.73
on day 2168, price is $70.68
on day 2169, price is $70.82
on day 2170, price is $70.81
on day 2171, price is $70.80
on day 2172, price is $70.76
on day 2173, price is $70.91
on day 2174, price is $71.03
on day 2175, price is $71.08
on day 2176, price is $71.07
on day 2177, price is $71.07
on day 2178, price is $71.03
on day 2179, price is $71.12
on day 2180, price is $71.18
on day 2181, price is $71.14
on day 2182, price is $71.19
on day 2183, price is $71.17
on day 2184, price is $71.30
on day 2185, price is $71.28
on day 2186, price is $71.23
on day 2187, price is $71.35
on day 2188, price is $71.47
on day 2189, price is $71.53
on day 2190, price is $71.63
on day 2191, price is $71.63
on day 2192, price is $71.61
on day 2193, price is $71.70
on day 2194, price is $71.78
on day 2195, price is $71.91
on day 2196, price is $72.08
on day 2197, price is $72.08
on day 2198, price is $72.21
on day 2199, price is $72.18
on day 2200, price is $72.13
on day 2201, price is $72.19
on day 2202, price is $72.16
on day 2203, price is $72.14
on day 2204, price is $72.12
on day 2205, price is $72.16
on day 2206, price is $72.14
on day 2207, price is $72.13
on day 2208, price is $72.25
on day 2209, price is $72.24
on day 2210, price is $72.36
on day 2211, price is $72.33
on day 2212, price is $72.35
on day 2213, price is $72.48
on day 2214, price is $72.47
on day 2215, price is $72.45
on day 2216, price is $72.40
on day 2217, price is $72.44
on day 2218, price is $72.51
on day 2219, price is $72.48
on day 2220, price is $72.48
on day 2221, price is $72.63
on day 2222, price is $72.67
on day 2223, price is $72.66
on day 2224, price is $72.83
on day 2225, price is $72.94
on day 2226, price is $72.93
